Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
OP6,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,3980mil,629.98mil,3980mil,629.99mil,3852.05mil,679.98mil,T,0,IS121
OP5,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,3505mil,629.98mil,3505mil,629.99mil,3377.05mil,679.98mil,T,0,IS121
OP9,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,3980mil,894.28mil,3980mil,894.29mil,3852.05mil,944.28mil,T,0,IS121
OP3,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,1990mil,629.98mil,1990mil,629.99mil,1862.05mil,679.98mil,T,0,IS121
OP2,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,1515mil,629.98mil,1515mil,629.99mil,1387.05mil,679.98mil,T,0,IS121
OP1,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,1040mil,629.98mil,1040mil,629.99mil,912.05mil,679.98mil,T,0,IS121
OP8,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,1040mil,1158.48mil,1040mil,1158.49mil,912.05mil,1208.48mil,T,0,IS121
D4,SMB_L4.6-W3.6-LS5.3-RD,4374mil,1579.99mil,4374mil,1580mil,4374mil,1500.27mil,T,90,S3MB
U5,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,3120mil,1062.99mil,3120mil,1062.99mil,3003mil,1237.99mil,T,270,ULN2003ADR
U4,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1900mil,1130.8mil,1900mil,1130.8mil,2017mil,955.8mil,T,90,ULN2003ADR
OLED,OLED_1'3,2519.69mil,1850.39mil,2519.69mil,1850.39mil,2469.69mil,1850.39mil,T,0,OLED
C20,C0805,1500mil,1640mil,1500mil,1640mil,1460.63mil,1640mil,T,0,100nF
C10,C0805,2954.4mil,1540.2mil,2954.4mil,1540.2mil,2954.4mil,1579.57mil,T,270,100nF
C9,C0805,2782mil,1816.5mil,2782mil,1816.5mil,2782mil,1855.87mil,T,270,100nF
R1,R0402,738.71mil,1285.1mil,738.7mil,1285.1mil,719.02mil,1285.1mil,T,0,10K
R2,R0402,4280.41mil,1277mil,4280.4mil,1277mil,4260.72mil,1277mil,T,0,10K
R23,R0402,3505.01mil,1670mil,3505.01mil,1670mil,3485.32mil,1670mil,T,0,10K
R3,R0402,2365.01mil,645mil,2365mil,645mil,2345.32mil,645mil,T,0,10K
R10,R0402,1020mil,2009.08mil,1020mil,2009.08mil,1039.68mil,2009.08mil,T,180,10K
R22,R0402,3080.01mil,1670mil,3080mil,1670mil,3060.32mil,1670mil,T,0,10K
R24,R0402,3835.01mil,1670mil,3835.01mil,1670mil,3815.32mil,1670mil,T,0,10K
R25,R0402,4165.01mil,1670mil,4165.01mil,1670mil,4145.32mil,1670mil,T,0,10K
C17,C0805,2010mil,2100mil,2010mil,2100mil,1970.63mil,2100mil,T,0,10uF
C21,C0805,2010mil,1940mil,2010mil,1940mil,2049.37mil,1940mil,T,180,10uF
C16,C0805,1680mil,2100mil,1680mil,2100mil,1640.63mil,2100mil,T,0,10uF
C19,C0805,1683.8mil,1630.7mil,1683.8mil,1630.7mil,1644.43mil,1630.7mil,T,0,10uF
C18,C0805,1867.67mil,1640mil,1867.67mil,1640mil,1907.04mil,1640mil,T,180,10uF
U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,800mil,1920mil,800mil,1920mil,725mil,1801.89mil,T,0,SC8002B
C8,CAP-SMD_BD4.0-L4.3-W4.3-FD,1330mil,2040mil,1330mil,2040mil,1408.74mil,2040mil,T,0,10uF
C7,CAP-SMD_BD4.0-L4.3-W4.3-FD,1330mil,1800mil,1330mil,1800mil,1408.74mil,1800mil,T,0,10uF
C11,CAP-SMD_BD4.0-L4.3-W4.3-FD,2929.6mil,1815.6mil,2929.6mil,1815.6mil,2929.6mil,1736.86mil,T,-90,10uF
C12,CAP-SMD_BD4.0-L4.3-W4.3-FD,2180.43mil,1891.41mil,2180.43mil,1891.41mil,2180.43mil,1812.67mil,T,-90,10uF
INPUTS_1-6,RJ45_X3_DOBLE_LCSC,2507.51mil,349.92mil,1222.51mil,120mil,1092.39mil,479.84mil,T,0,INPUTS 1-6
R20,R0402,4415.01mil,870mil,4415mil,870mil,4395.32mil,870mil,T,0,330
